site,name,label,lat,lon,class,area_ha
46,Fox Island Wetland #1,46:Fox Island Wetland #1,44.04981749,-76.31826466,barrier,0.232417605
47,Fox Island Wetland #2,47:Fox Island Wetland #2,44.04851212,-76.32182797,barrier,0.105070188
50,Cranberry Pond Wetland,50:Cranberry Pond Wetland,43.29930768,-77.70379216,barrier,176.167371
51,BENCHMARK:Buck Pond,51:BENCHMARK:Buck Pond,43.27969959,-77.67390515,barrier,290.7637081
52,Round Pond,52:Round Pond,43.2718196,-77.65228472,barrier,96.87671025
53,Little Pond Wetland,53:Little Pond Wetland,43.26448772,-77.63529488,riverine,9.162197061
54,Genesee River Wetland,54:Genesee River Wetland,43.22980308,-77.61683917,riverine,83.78806945
55,Eastman Lake Area Wetland,55:Eastman Lake Area Wetland,43.2369384,-77.56347863,barrier,0.64135483
56,Irondequoit Bay Wetland 2,56:Irondequoit Bay Wetland 2,43.17110415,-77.51879766,riverine,15.52186934
57,Bear Creek Harbor Wetland,57:Bear Creek Harbor Wetland,43.27775095,-77.29210057,barrier,0.67763309
58,Holland Cove Wetland,58:Holland Cove Wetland,43.28910711,-77.14510378,barrier,1.418907592
59,Mink Creek Wetland,59:Mink Creek Wetland,43.28490441,-77.13841705,barrier,3.741305575
60,Bootleggers Point Wetland,60:Bootleggers Point Wetland,43.28494226,-77.11709304,riverine,0.879091635
61,Camp Beechwood Wetland,61:Camp Beechwood Wetland,43.2707918,-77.03425061,barrier,1.14676652
62,Maxwell Bay Wetland,62:Maxwell Bay Wetland,43.26868227,-77.02579837,barrier,12.91003174
63,Third Creek,63:Third Creek,43.23492445,-76.9585461,riverine,16.15064728
64,Root Swamp,64:Root Swamp,43.27536833,-76.93147514,barrier,50.51112884
65,Chimney Bluff Wetland,65:Chimney Bluff Wetland,43.28474448,-76.92060899,barrier,0.41080776
66,East Bay Wetland,66:East Bay Wetland,43.27663989,-76.90189249,riverine,323.0153844
67,Brush Marsh,67:Brush Marsh,43.29149643,-76.86810479,riverine,34.50063732
68,Dutch Street Road Wetland,68:Dutch Street Road Wetland,43.297296,-76.85659006,barrier,1.095281169
69,Beaver Creek Wetland,69:Beaver Creek Wetland,43.28221758,-76.84936871,riverine,135.0107232
70,Port Bay Wetland,70:Port Bay Wetland,43.28053108,-76.8278586,riverine,341.6993266
71,Deaborough Park Wetland,71:Deaborough Park Wetland,43.30437805,-76.82806639,barrier,8.090627226
72,Deaborough Park Area Wetland,72:Deaborough Park Area Wetland,43.29081372,-76.81439823,riverine,54.42994346
73,Brown Road Area Wetland #3,73:Brown Road Area Wetland #3,43.30491938,-76.81364858,barrier,3.31680666
74,Brown Road Area Wetland #2,74:Brown Road Area Wetland #2,43.30756721,-76.80600508,barrier,0.569848188
75,Brown Road Area Wetland #1,75:Brown Road Area Wetland #1,43.30740831,-76.80339424,barrier,0.398521338
76,Red Creek Wetland,76:Red Creek Wetland,43.30275163,-76.78532957,riverine,138.7616386
77,Scotts Bluff Area Wetland #2,77:Scotts Bluff Area Wetland #2,43.31524568,-76.7772679,barrier,1.989793685
78,Scotts Bluff Area Wetland #1,78:Scotts Bluff Area Wetland #1,43.31456709,-76.77053289,barrier,9.377638635
79,Black Creek Wetland,79:Black Creek Wetland,43.31464825,-76.75021359,riverine,186.0533438
80,Blind Sodus Bay Area Wetland #2,80:Blind Sodus Bay Area Wetland #2,43.33096417,-76.7460567,barrier,1.407564102
81,Blind Sodus Bay Area Wetland #1,81:Blind Sodus Bay Area Wetland #1,43.33072122,-76.73797716,barrier,28.35611993
82,Blind Sodus Bay Wetland,82:Blind Sodus Bay Wetland,43.33780899,-76.72848085,barrier,99.49714703
83,Little Sodus Bay Area Wetland,83:Little Sodus Bay Area Wetland,43.34241152,-76.71810593,barrier,0.359250342
84,Little Sodus Bay Wetland,84:Little Sodus Bay Wetland,43.33029127,-76.70966728,barrier,301.2673717
85,Sterling Creek Area Wetland,85:Sterling Creek Area Wetland,43.35054517,-76.68561938,barrier,2.598018373
86,Sterling Creek Wetland,86:Sterling Creek Wetland,43.34468669,-76.67873931,riverine,354.9161205
87,Juniper Pond Wetland,87:Juniper Pond Wetland,43.36390224,-76.66992449,barrier,14.37977479
88,McIntyres Bluff Wetland,88:McIntyres Bluff Wetland,43.37374197,-76.66053986,barrier,9.263330539
89,Sidmans Hill Wetland,89:Sidmans Hill Wetland,43.38044646,-76.64578288,barrier,50.34121936
90,Moon Beach Wetland,90:Moon Beach Wetland,43.39414681,-76.6458018,barrier,3.038492313
91,Ninemile Creek Wetland,91:Ninemile Creek Wetland,43.4064177,-76.63366777,riverine,5.015944432
92,Eighteenmile Creek Wetland,92:Eighteenmile Creek Wetland,43.4116237,-76.62098657,riverine,4.376266893
93,Health Camp-Camp Road Marsh,93:Health Camp-Camp Road Marsh,43.41690572,-76.60950767,barrier,18.57171665
94,Snake Creek Marsh,94:Snake Creek Marsh,43.43295406,-76.58190769,barrier,49.17040699
95,Rice Creek Marsh,95:Rice Creek Marsh,43.44120121,-76.56551089,riverine,12.16214731
96,Teal Marsh,96:Teal Marsh,43.48905532,-76.46760805,barrier,58.04827024
97,City Line Marsh,97:City Line Marsh,43.47527651,-76.48544291,barrier,1.167598573
98,Teal Marsh Area Wetland #2,98:Teal Marsh Area Wetland #2,43.49645238,-76.46306245,barrier,1.795532313
99,Teal Marsh Area Wetland #1,99:Teal Marsh Area Wetland #1,43.49776062,-76.45779866,barrier,3.503320367
100,Lake View Area Wetland #4,100:Lake View Area Wetland #4,43.5075705,-76.43900499,barrier,1.570533172
101,Lake View Area Wetland #3,101:Lake View Area Wetland #3,43.50943554,-76.43692079,barrier,1.737172062
102,Lake View Area Wetland #2,102:Lake View Area Wetland #2,43.51060388,-76.42773043,barrier,1.620445157
103,Lake View Wetland,103:Lake View Wetland,43.51455827,-76.42273994,barrier,0.585584353
104,Sunset Bay Wetland #1,104:Sunset Bay Wetland #1,43.52315346,-76.38455247,barrier,0.852190264
105,Shore Oaks Wetland,105:Shore Oaks Wetland,43.51631757,-76.35543431,barrier,1.053188946
106,Otter Branch Wetland,106:Otter Branch Wetland,43.51105932,-76.34246133,barrier,12.02011463
107,Pleasant Point Area Wetland,107:Pleasant Point Area Wetland,43.50818923,-76.33350399,barrier,9.040401964
108,Catfish Creek Marsh,108:Catfish Creek Marsh,43.51191859,-76.3228164,riverine,6.122307142
109,Butterfly Swamp,109:Butterfly Swamp,43.51352252,-76.28314973,riverine,150.7898338
111,Mexico Point Area Wetland,111:Mexico Point Area Wetland,43.51974252,-76.26005838,barrier,19.16147408
112,Little Salmon River Marsh,112:Little Salmon River Marsh,43.52090701,-76.25303469,riverine,17.05999993
113,Sage Creek Wetland,113:Sage Creek Wetland,43.52433137,-76.24352437,riverine,13.54588398
114,Sage Creek Area Wetland,114:Sage Creek Area Wetland,43.52745523,-76.23649389,barrier,1.961215246
115,Sage Creek Marsh East,115:Sage Creek Marsh East,43.52853924,-76.2301052,barrier,14.99224165
116,Ramona Beach Marsh,116:Ramona Beach Marsh,43.53234202,-76.2224131,riverine,45.35221208
117,Grindstone Creek Marsh,117:Grindstone Creek Marsh,43.54768123,-76.20878036,riverine,52.68441492
118,Salmon River Marsh,118:Salmon River Marsh,43.56821639,-76.19264997,riverine,133.2239731
119,South Pond Wetland #1,119:South Pond Wetland #1,43.61982972,-76.18727092,barrier,217.6082294
120,South Pond Wetland 3,120:South Pond Wetland 3,43.59763569,-76.18639552,barrier,305.4952623
121,Deer Creek Marsh,121:Deer Creek Marsh,43.60300787,-76.19619465,barrier,0.904199202
122,North Pond Area Wetland,122:North Pond Area Wetland,43.65593024,-76.1828676,barrier,943.6352869
123,Little Sandy Creek Marsh,123:Little Sandy Creek Marsh,43.63680824,-76.16270245,riverine,28.35868226
124,Blind Creek Wetland,124:Blind Creek Wetland,43.65309984,-76.15190262,riverine,21.04936284
125,Skinner Creek Wetland,125:Skinner Creek Wetland,43.68080292,-76.16749626,riverine,63.09579791
126,Cranberry Pond Marsh,126:Cranberry Pond Marsh,43.68856612,-76.19251913,barrier,67.66238608
128,Southwick Beach Marshes,128:Southwick Beach Marshes,43.77003468,-76.21409841,barrier,30.46298225
129,Jefferson Park Area Wetland,129:Jefferson Park Area Wetland,43.77683272,-76.21709582,barrier,2.422926053
130,Black Pond-Little Stony Creek Marsh,130:Black Pond-Little Stony Creek Marsh,43.79646782,-76.22118516,barrier,175.4420132
131,El'Dorado Beach Wetland #2,131:El'Dorado Beach Wetland #2,43.81206626,-76.22832714,barrier,15.66825606
133,Stony Creek Marsh,133:Stony Creek Marsh,43.82330132,-76.2341768,riverine,39.68918714
136,Ray Bay Wetland #3,136:Ray Bay Wetland #3,43.83403395,-76.2616091,barrier,21.75426707
137,Ray Bay Marsh,137:Ray Bay Marsh,43.83956039,-76.26126236,riverine,9.369806463
138,Ray Bay Wetland #2,138:Ray Bay Wetland #2,43.83958349,-76.26903348,barrier,1.538192913
139,Boomer Cove Wetland #2,139:Boomer Cove Wetland #2,43.8490908,-76.26600889,riverine,24.50280118
140,Boomer Cove Wetland #1,140:Boomer Cove Wetland #1,43.85300426,-76.27304456,riverine,31.20656181
141,Ray Bay Wetland #1,141:Ray Bay Wetland #1,43.84012569,-76.29200882,barrier,3.930790569
142,Gravely Bay Wetland,142:Gravely Bay Wetland,43.85130612,-76.29534193,barrier,0.680271083
143,Stony Point Area Wetland,143:Stony Point Area Wetland,43.88074761,-76.25652232,lacustrine,2.044436119
144,Calf Island Wetland,144:Calf Island Wetland,43.87725287,-76.36837507,barrier,11.76497727
145,Stony Island Wetland #2,145:Stony Island Wetland #2,43.91279099,-76.30618294,barrier,1.215796353
146,Stony Island Wetland #1,146:Stony Island Wetland #1,43.91755488,-76.3036043,barrier,3.453068719
147,Middle Road Area Wetland,147:Middle Road Area Wetland,43.98559383,-76.2675563,lacustrine,2.991774649
148,Point Peninsula Marsh,148:Point Peninsula Marsh,43.99889312,-76.26127958,barrier,130.6675177
150,Six Town Point Wetland,150:Six Town Point Wetland,43.90524905,-76.20896917,lacustrine,1.441324084
151,Wescott Beach State Park Wetland,151:Wescott Beach State Park Wetland,43.89996118,-76.12511356,barrier,2.372877128
152,Campbell Marsh,152:Campbell Marsh,43.9104662,-76.12193657,riverine,18.4069525
153,Boultone Beach Area Wetland,153:Boultone Beach Area Wetland,43.91562003,-76.12639716,lacustrine,3.509417567
154,Boultone Beach Area Wetland #1,154:Boultone Beach Area Wetland #1,43.92263916,-76.12377357,riverine,1.2010174
155,Boultone Beach Wetland,155:Boultone Beach Wetland,43.93393112,-76.13074593,barrier,7.299228752
156,Horse Island Wetland,156:Horse Island Wetland,43.94212425,-76.1419041,lacustrine,0.237447649
157,Sherwin Bay Marsh,157:Sherwin Bay Marsh,43.97488049,-76.16756356,riverine,21.18964737
158,Reeds Bay Wetland,158:Reeds Bay Wetland,43.97322352,-76.19886638,barrier,1.31416436
159,Marsh Point Wetland,159:Marsh Point Wetland,43.99877154,-76.18743239,barrier,0.949911449
160,Lonsdale Road Wetland,160:Lonsdale Road Wetland,43.96513174,-76.09929319,barrier,0.829712963
161,Muskalonge Bay Wetland,161:Muskalonge Bay Wetland,43.97523204,-76.08540259,riverine,4.22770568
162,Muskalonge Bay Wetland #1,162:Muskalonge Bay Wetland #1,43.97992022,-76.06616031,riverine,197.2615026
163,Perch River Wetland,163:Perch River Wetland,43.99845372,-76.07717731,riverine,162.9402745
164,Guffin Bay Marsh,164:Guffin Bay Marsh,44.03912336,-76.12527825,riverine,80.70333356
165,Backus Road Wetland,165:Backus Road Wetland,44.0362244,-76.11908706,riverine,0.384532943
166,Sawmill Bay Wetland,166:Sawmill Bay Wetland,44.06365095,-76.129775,lacustrine,0.828487161
167,Chaumont River Mouth Wetland,167:Chaumont River Mouth Wetland,44.0671284,-76.15058457,lacustrine,12.46918017
168,Three Mile Point Road Wetland,168:Three Mile Point Road Wetland,44.06358556,-76.16958402,lacustrine,17.49263414
169,Herrick Grove Area Wetland,169:Herrick Grove Area Wetland,44.05664534,-76.20576574,lacustrine,0.60655435
171,Three Mile Bay Wetland,171:Three Mile Bay Wetland,44.07974568,-76.20188737,riverine,6.097178586
172,Three Mile Bay Wetland #2,172:Three Mile Bay Wetland #2,44.07158855,-76.21696047,lacustrine,3.444908893
173,Three Mile Bay Wetland #1,173:Three Mile Bay Wetland #1,44.06690894,-76.22460352,lacustrine,0.581445887
174,Three Mile Bay Area Wetland,174:Three Mile Bay Area Wetland,44.06733514,-76.22824494,lacustrine,1.332918696
175,Carrying Place Road Wetland,175:Carrying Place Road Wetland,44.06390676,-76.24553471,lacustrine,5.749322804
176,Shore Road Wetland,176:Shore Road Wetland,44.00044208,-76.2212747,lacustrine,3.922669695
178,Long Bay Wetland,178:Long Bay Wetland,44.02681937,-76.21778906,riverine,0.354903184
180,Isthmus East Wetland,180:Isthmus East Wetland,44.01969255,-76.25777652,lacustrine,3.80214183
181,Isthmus Marsh South,181:Isthmus Marsh South,44.01381701,-76.2808305,lacustrine,34.09279569
182,Point Peninsula North Marsh,182:Point Peninsula North Marsh,44.00764834,-76.27501351,barrier,9.915075806
183,North Shore Wetland #1,183:North Shore Wetland #1,44.02487522,-76.28163021,lacustrine,0.806851882
184,North Shore Wetland #2,184:North Shore Wetland #2,44.03322031,-76.27859175,lacustrine,4.07726385
185,"North Shore Wetland #3, #4","185:North Shore Wetland #3, #4",44.04224687,-76.27186681,lacustrine,0.382010998
186,Long Carry Marsh,186:Long Carry Marsh,44.05134638,-76.27306868,lacustrine,8.762595985
187,Fox Creek Marsh,187:Fox Creek Marsh,44.05874728,-76.29609814,riverine,24.04254194
188,Little Fox Creek Marsh,188:Little Fox Creek Marsh,44.05048865,-76.29060098,riverine,26.84572941
189,Fox Island Area Wetland #2,189:Fox Island Area Wetland #2,44.04176288,-76.29703199,lacustrine,0.098810308
190,Lyme Township Wetland #1,190:Lyme Township Wetland #1,44.02501644,-76.30607689,barrier,1.048555024
191,"Lyme Township Wetland #2,#3,#4","191:Lyme Township Wetland #2,#3,#4",44.02135314,-76.30112711,barrier,2.212496369
193,Fuller Bay Marsh,193:Fuller Bay Marsh,44.10249868,-76.35798111,barrier,4.671194628
194,Wilson Point Marsh,194:Wilson Point Marsh,44.0948946,-76.35752477,barrier,2.471192652
195,Wilson Bay Marsh,195:Wilson Bay Marsh,44.09467636,-76.34001677,barrier,80.54141894
196,Dablon Point Area Wetland,196:Dablon Point Area Wetland,44.07112858,-76.35604199,barrier,0.043320871
197,Mud Bay Marsh #1,197:Mud Bay Marsh #1,44.07679066,-76.33385772,riverine,5.037061015
199,Mud Bay Marsh #2,199:Mud Bay Marsh #2,44.08371628,-76.3062317,riverine,107.4451429
200,Fox Island Wetland,200:Fox Island Wetland,44.0382592,-76.32726562,lacustrine,32.07144517
202,Fox Island Wetland #1,202:Fox Island Wetland #1,44.03258266,-76.3226509,barrier,0.386301871
203,Grenadier Island Wetland #2,203:Grenadier Island Wetland #2,44.03380779,-76.36437444,barrier,0.662310922
204,Grenadier Island Area Wetland,204:Grenadier Island Area Wetland,44.04064083,-76.34775644,barrier,0.289687567
205,Grenadier Island Wetland #1,205:Grenadier Island Wetland #1,44.04383284,-76.3465668,barrier,4.818498666
206,Basin Harbor Wetland,206:Basin Harbor Wetland,44.04789253,-76.34400334,lacustrine,2.921650761
207,Grenadier Island Area Wetland #1,207:Grenadier Island Area Wetland #1,44.05377749,-76.3488435,barrier,0.99486717
208,Grenadier Island Wetland #5,208:Grenadier Island Wetland #5,44.05172088,-76.3642723,barrier,0.434870088
209,Grenadier Island Wetland #4,209:Grenadier Island Wetland #4,44.05233667,-76.36743447,barrier,1.206359851
211,South Galloo Island Wetland,211:South Galloo Island Wetland,43.89487746,-76.42501615,barrier,21.56185491
212,Galloo Island Wetland,212:Galloo Island Wetland,43.90673335,-76.40407273,barrier,79.96189844
213,North Galloo Island Wetland,213:North Galloo Island Wetland,43.91784412,-76.38730057,barrier,9.159227349
214,North Pond Galloo Wetland,214:North Pond Galloo Wetland,43.91902282,-76.40437171,lacustrine,19.93812535
215,Henderson  Harbor Wetland,215:Henderson  Harbor Wetland,43.84941691,-76.20819702,lacustrine,2.512725497
242,Coles Creek Camping Area Wetland,242:Coles Creek Camping Area Wetland,44.8891752,-75.14145998,riverine,8.356373988
248,Coles Creek Wetland,248:Coles Creek Wetland,44.89104852,-75.10183569,riverine,11.11344967
249,Nichols Hill Wetland,249:Nichols Hill Wetland,44.91104493,-75.10013954,riverine,6.230161872
250,Wilson Hill Wetland #3,250:Wilson Hill Wetland #3,44.92151892,-75.05499465,riverine,14.38473422
252,Wilson Hill Wetland #1,252:Wilson Hill Wetland #1,44.93581214,-75.0137667,riverine,4.237615411
253,East Wilson Area Wetland,253:East Wilson Area Wetland,44.94083693,-75.00132411,riverine,0.27958238
254,Grass Bay Wetland,254:Grass Bay Wetland,44.15831541,-76.28026984,riverine,0.921733215
255,Grass Bay Area Wetland,255:Grass Bay Area Wetland,44.15886506,-76.27412636,riverine,0.751412145
256,Milen Bay Wetland,256:Milen Bay Wetland,44.16807539,-76.24371264,riverine,1.246538536
257,Beadle Point Area Wetland,257:Beadle Point Area Wetland,44.1839759,-76.22892228,barrier,1.71254833
258,Flynn Bay Marsh,258:Flynn Bay Marsh,44.25399105,-76.13676238,riverine,78.28757048
259,French Creek Marsh,259:French Creek Marsh,44.20780736,-76.11814275,riverine,282.0672957
260,French Creek Bay Wetland,260:French Creek Bay Wetland,44.23668629,-76.10633884,riverine,0.38313124
261,Clayton Wetland,261:Clayton Wetland,44.24141852,-76.08007121,riverine,0.690814357
262,Carrier Bay Wetland,262:Carrier Bay Wetland,44.24151325,-76.07128133,riverine,6.016999923
265,Blind Bay Marsh,265:Blind Bay Marsh,44.26460778,-76.01687137,riverine,39.84435325
267,Mullet Creek Area Wetland #2,267:Mullet Creek Area Wetland #2,44.26989191,-75.9985315,riverine,4.457897853
268,Grass Point Wetland,268:Grass Point Wetland,44.28302665,-76.0023393,riverine,1.882960625
269,South Bay Marsh,269:South Bay Marsh,44.29382101,-76.02868094,riverine,6.662854955
270,Murray Isle Wetland,270:Murray Isle Wetland,44.29259637,-76.04587711,riverine,1.0271175
271,Otter Point Marsh,271:Otter Point Marsh,44.31540693,-76.0036368,riverine,2.767560908
272,Eel Bay Marshes,272:Eel Bay Marshes,44.32073795,-76.01361416,riverine,45.0235305
273,Eel Bay Marsh #1,273:Eel Bay Marsh #1,44.32209199,-76.02506853,riverine,2.80891623
274,Eel Bay Area Wetland,274:Eel Bay Area Wetland,44.32388044,-76.02821651,riverine,1.377529922
275,Flatiron Marsh Wetland,275:Flatiron Marsh Wetland,44.32422042,-76.04445766,riverine,20.71467744
277,Boscobel Area Wetland,277:Boscobel Area Wetland,44.25687464,-76.11635971,riverine,0.827275459
278,Aunt Janes Bay Wetland,278:Aunt Janes Bay Wetland,44.26747779,-76.110236,riverine,3.344458958
279,Delaney Marsh,279:Delaney Marsh,44.28797128,-76.090187,riverine,59.15002578
280,Plum Tree Marsh,280:Plum Tree Marsh,44.29798986,-76.07584534,riverine,8.165321824
281,Whitehouse Marsh,281:Whitehouse Marsh,44.30163848,-76.07537258,riverine,3.947114099
282,Whitehouse Marsh #1,282:Whitehouse Marsh #1,44.30564388,-76.07477108,riverine,0.203735197
283,Buck Bay Wetland,283:Buck Bay Wetland,44.2543508,-76.14933905,riverine,6.437518802
284,North Buck Bay Area Wetland,284:North Buck Bay Area Wetland,44.25818661,-76.15118401,riverine,6.044353466
285,Thurso Bay Wetland,285:Thurso Bay Wetland,44.2862347,-76.14010972,riverine,0.460542639
286,McCrae Marsh,286:McCrae Marsh,44.28270653,-76.12991638,riverine,45.36461848
287,Morristown Bay Wetland,287:Morristown Bay Wetland,44.58348669,-75.64902491,riverine,3.136764549
288,Crows Nest Marsh,288:Crows Nest Marsh,44.50727093,-75.75503926,riverine,1.948606056
289,Goose Bay Marsh,289:Goose Bay Marsh,44.38204104,-75.83979927,riverine,61.83967243
290,Crooked Creek Wetland,290:Crooked Creek Wetland,44.37413692,-75.81820183,riverine,285.7025677
291,Morgan Island Area Wetland,291:Morgan Island Area Wetland,44.38078671,-75.85518622,riverine,0.1770031
292,St. Margarettea Island Area Wetland,292:St. Margarettea Island Area Wetland,44.40761204,-75.81497087,riverine,0.16055967
293,St. Margarettea Island Area Wetland #1,293:St. Margarettea Island Area Wetland #1,44.40587742,-75.80930475,riverine,18.19669442
294,Duck Cove Wetland,294:Duck Cove Wetland,44.40704989,-75.79527422,riverine,1.038654694
295,Schermerhorn Landing Area Wetland #3,295:Schermerhorn Landing Area Wetland #3,44.4152562,-75.78961449,riverine,1.786959456
296,Schermerhorn Landing Area Wetland #1,296:Schermerhorn Landing Area Wetland #1,44.41834505,-75.78751552,riverine,1.098924974
297,Grante Island Area Wetland #2,297:Grante Island Area Wetland #2,44.43026685,-75.77637655,riverine,0.818456266
298,Grante Island Area Wetland #1,298:Grante Island Area Wetland #1,44.43270057,-75.77327006,riverine,1.04717073
299,Oak Island Marsh #3,299:Oak Island Marsh #3,44.43197079,-75.78642089,riverine,23.45435605
300,Oak Island Marsh #1,300:Oak Island Marsh #1,44.41870715,-75.79935867,riverine,4.314296018
301,Oak Island Marsh,301:Oak Island Marsh,44.41707961,-75.80751988,riverine,1.125919446
302,Oak Island Marsh #2,302:Oak Island Marsh #2,44.42393376,-75.7969327,riverine,4.572669307
305,Chippewa Creek Marsh #1,305:Chippewa Creek Marsh #1,44.47104946,-75.72993993,riverine,336.7816723
306,Willy Island Marsh East,306:Willy Island Marsh East,44.46101621,-75.76764188,riverine,4.425524871
307,Sheephead Marsh Wetland,307:Sheephead Marsh Wetland,44.46816143,-75.77441405,riverine,14.98332126
308,Sheephead Marsh Wetland #1,308:Sheephead Marsh Wetland #1,44.47141266,-75.78046273,riverine,11.63473657
309,Chippewa Point Wetland,309:Chippewa Point Wetland,44.46740269,-75.78862366,riverine,2.056946425
310,Blind Bay Marsh,310:Blind Bay Marsh,44.47728436,-75.77549612,riverine,2.900131162
311,Goose Bay-Cranberry Creek Marsh #4,311:Goose Bay-Cranberry Creek Marsh #4,44.36059306,-75.85611531,riverine,1.498585684
312,Goose Bay-Cranberry Creek Marsh #3,312:Goose Bay-Cranberry Creek Marsh #3,44.36307807,-75.86651634,riverine,2.352947026
313,Goose Bay-Cranberry Creek Marsh #2,313:Goose Bay-Cranberry Creek Marsh #2,44.3656052,-75.86458704,riverine,1.044027234
314,Goose Bay-Cranberry Creek Marsh,314:Goose Bay-Cranberry Creek Marsh,44.35289616,-75.87421517,riverine,208.1758084
315,Goose Bay-Cranberry Creek Marsh #1,315:Goose Bay-Cranberry Creek Marsh #1,44.36113864,-75.88687375,riverine,1.644765555
316,North Carnegie Bay Wetland,316:North Carnegie Bay Wetland,44.34981747,-75.89794023,riverine,3.281917928
317,Carnegie Bay Wetland,317:Carnegie Bay Wetland,44.34478614,-75.90602996,riverine,2.54964074
318,Greens Creek Area Wetland,318:Greens Creek Area Wetland,44.33857639,-75.91335525,riverine,0.181306771
319,Otter Creek Marsh,319:Otter Creek Marsh,44.32820781,-75.91830369,riverine,12.24856054
321,Deer Island Wetland,321:Deer Island Wetland,44.36472376,-75.90842752,riverine,0.509851954
322,Fairy Island Area Wetland,322:Fairy Island Area Wetland,44.35482852,-75.92684702,riverine,7.420821598
323,Westminster Marsh,323:Westminster Marsh,44.34314076,-75.94366288,riverine,21.54606412
324,Grass Point Area Wetland,324:Grass Point Area Wetland,44.29258089,-75.98816891,riverine,2.106649165
325,Moore Landing Marsh,325:Moore Landing Marsh,44.29677741,-75.98320418,riverine,6.149543128
326,Swan Bay Marsh,326:Swan Bay Marsh,44.30367094,-75.96879321,riverine,10.14532159
327,Point Vivian Marsh,327:Point Vivian Marsh,44.31364688,-75.94817085,riverine,18.03300589
328,Otter Point Marsh #1,328:Otter Point Marsh #1,44.31639125,-75.99776321,riverine,1.648746663
